ts_event,symbol,ofi_integrated
2024-10-21 11:54:29.221064336+00:00,AAPL,0.0
2024-10-21 11:54:29.223769812+00:00,AAPL,2.233163693357067e-06
2024-10-21 11:54:29.225030400+00:00,AAPL,3.3205326430539697e-06
2024-10-21 11:54:29.712434212+00:00,AAPL,-0.0027130061050489674
2024-10-21 11:54:29.764673165+00:00,AAPL,0.005321665796358939
2024-10-21 11:54:29.764685027+00:00,AAPL,0.0004297937223397526
2024-10-21 11:54:36.289427977+00:00,AAPL,-0.04705332731556505
2024-10-21 11:54:37.990793976+00:00,AAPL,-0.00022136884287026463
2024-10-21 11:54:39.124291588+00:00,AAPL,4.975432686831052
2024-10-21 11:54:39.134140341+00:00,AAPL,-1.6220573894387071
2024-10-21 11:54:41.233181043+00:00,AAPL,-3.3497455400356007e-06
2024-10-21 11:54:41.234620509+00:00,AAPL,1.1133169874968118e-06
2024-10-21 11:54:41.235907431+00:00,AAPL,-1.1165818466785336e-06
2024-10-21 11:54:41.235977207+00:00,AAPL,-2.2463387003197932e-06
2024-10-21 11:54:41.238618235+00:00,AAPL,0.13946250700112048
2024-10-21 11:54:41.239827037+00:00,AAPL,5.572015730280973e-06
2024-10-21 11:54:50.970297264+00:00,AAPL,0.07497352470241109
2024-10-21 11:54:50.970336474+00:00,AAPL,0.28830246481572125
2024-10-21 11:54:53.247532557+00:00,AAPL,-5.654768438327198e-06
2024-10-21 11:54:53.248893986+00:00,AAPL,0.027472707333194936
2024-10-21 11:54:53.251320969+00:00,AAPL,3.339950962490436e-06
2024-10-21 11:54:53.252546517+00:00,AAPL,2.2136884287026465e-06
2024-10-21 11:54:55.503497741+00:00,AAPL,-0.3051468389097712
2024-10-21 11:54:55.503541005+00:00,AAPL,0.2693409045736752
2024-10-21 11:54:55.551806996+00:00,AAPL,0.003504533648163069
2024-10-21 11:54:58.132928650+00:00,AAPL,0.34025291453659096
2024-10-21 11:54:58.133944065+00:00,AAPL,0.0011691497464607812
2024-10-21 11:55:09.125042325+00:00,AAPL,-1.484123949419214
2024-10-21 11:55:09.125055670+00:00,AAPL,0.3001239859949066
2024-10-21 11:55:09.160009889+00:00,AAPL,-0.3078483944128783
2024-10-21 11:55:09.160051447+00:00,AAPL,-0.003320719341270446
2024-10-21 11:55:13.899151539+00:00,AAPL,0.0023382994929215624
2024-10-21 11:55:22.016715475+00:00,AAPL,-1.5250058398748851
2024-10-21 11:55:22.060173668+00:00,AAPL,0.3412094874396996
2024-10-21 11:55:22.132778490+00:00,AAPL,0.0023382994929215624
2024-10-21 11:55:26.447978801+00:00,AAPL,-0.00022136884287026463
2024-10-21 11:55:30.365285173+00:00,AAPL,-1.5307734481924364
2024-10-21 11:55:30.365297270+00:00,AAPL,0.3423178908802988
2024-10-21 11:55:30.377046532+00:00,AAPL,-1.5250058398748851
2024-10-21 11:55:30.377110788+00:00,AAPL,-0.0022138129335369703
2024-10-21 11:55:30.509413271+00:00,AAPL,0.0031131743910887493
2024-10-21 11:55:30.509458075+00:00,AAPL,-0.06953304332789867
2024-10-21 11:55:30.559949308+00:00,AAPL,0.0023382994929215624
2024-10-21 11:55:31.194923125+00:00,AAPL,0.42688110701977666
